AGE,GENDER,MARITAL_STATUS,GROSS_ANNUAL_INCOME,EDUCATION,OCCUPATION,CASH,EQUITY,INSURANCE,FIXED_DEPOSIT,GOLD,MUTUAL_FUNDS,BEH,RP1,RP2,RP3,RA1,RA2,RA3,FQPB,PBC1,PBC2,PBC3,PBC4,GOAL,BI1,BI2
4,1,2,4,3,3,3,3,4,5,3,4,4,3,3,4,4,4,3,6,5,4,4,6,153,6,4
3,2,2,3,3,1,3,3,5,5,4,6,6,4,3,5,3,3,3,6,4,7,4,6,478,6,5
2,2,1,2,2,2,2,3,3,4,4,3,3,3,3,2,3,5,4,4,3,2,3,5,462,3,3
3,2,2,4,3,3,6,5,5,5,6,5,5,4,5,5,5,6,5,6,7,4,7,6,314,5,6
4,2,2,4,4,3,4,5,4,4,6,5,5,4,5,4,5,6,5,6,3,6,6,4,642,5,5
3,2,2,4,3,3,3,3,4,4,5,3,3,6,6,3,6,5,5,6,3,6,6,5,472,7,3
4,2,2,3,2,3,4,4,5,6,5,5,5,2,4,3,3,4,3,6,6,3,3,6,658,6,5
4,2,2,2,3,2,5,4,5,4,5,6,6,1,2,1,7,5,6,5,7,7,7,7,682,7,7
2,2,1,1,4,6,2,2,2,2,2,2,2,4,4,3,6,7,6,1,1,4,6,2,43,5,5
4,1,2,2,3,5,5,4,3,5,2,3,3,2,2,3,1,2,3,2,5,6,4,6,5,3,3
4,2,2,4,3,2,1,1,1,1,2,1,1,1,1,1,7,5,7,5,7,7,7,7,187,7,1
2,2,1,3,3,2,1,1,1,2,2,1,1,1,1,2,6,5,7,6,7,7,7,6,546,7,1
4,1,2,2,4,2,4,5,5,4,3,4,4,5,5,5,5,5,5,2,4,4,4,5,32,2,6
3,1,2,2,3,1,5,5,4,4,4,4,4,4,3,4,4,4,3,3,6,6,5,5,8,5,6
3,2,2,2,3,3,5,4,4,4,5,5,5,3,4,4,5,4,4,4,5,5,4,6,6,5,6
2,2,1,3,3,3,1,1,1,3,1,1,1,1,1,2,6,7,7,6,7,7,7,7,257,7,1
3,1,2,2,4,1,3,5,3,4,4,4,4,4,3,4,6,5,5,4,5,4,4,5,1,5,5
3,2,2,3,4,2,3,3,2,1,3,1,1,1,1,1,6,5,5,7,7,6,6,6,278,6,7
